State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"West Bengal",Murshidabad,"Jangipur APMC",Onion,Bellary,FAQ,31/12/2025,1500,1600,1550
"West Bengal",Murshidabad,"Jangipur APMC",Garlic,Other,FAQ,31/12/2025,4500,4700,4600
Punjab,Mohali,"Dera Bassi APMC",Potato,Potato,Local,31/12/2025,1000,1000,1000
Punjab,Patiala,"Ghanaur APMC",Onion,Other,FAQ,31/12/2025,1700,1900,1800
Gujarat,Morbi,"Vankaner APMC",Cotton,Other,FAQ,31/12/2025,5500,7925,7050
Gujarat,Morbi,"Vankaner APMC",Groundnut,Other,FAQ,31/12/2025,3500,7500,5500
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai ) APMC",Grapes,Annabesahai,Local,31/12/2025,7000,8000,7500
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai ) APMC",Potato,"Red Nanital",Local,31/12/2025,4000,4600,4300
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai ) APMC","Green Peas","Green Peas",Local,31/12/2025,5000,5600,5300
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai ) APMC","Mousambi(Sweet Lime)",Mousambi,Local,31/12/2025,5000,6000,5500
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai ) APMC",Coconut,Coconut,Local,31/12/2025,5500,6000,5750
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai ) APMC","Sweet Potato","Hosur Red",Local,31/12/2025,2800,3200,3000
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai ) APMC",Raddish,Raddish,Local,31/12/2025,2000,3400,2700
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai ) APMC",Thondekai,Thondekai,Local,31/12/2025,4000,4500,4250
Tripura,Gomati,"Nutanbazar APMC","Indian Beans(Seam)","Indian Beans (Seam)",FAQ,31/12/2025,7850,8000,7950
Tripura,Gomati,"Nutanbazar APMC","Green Chilli","Green Chilly",FAQ,31/12/2025,13500,15000,14500
Tripura,"North Tripura","Dasda APMC",Cabbage,Cabbage,FAQ,31/12/2025,4000,4200,4100
"Uttar Pradesh",Prayagraj,"Ajuha APMC",Wheat,Dara,FAQ,31/12/2025,2500,2570,2550
"Uttar Pradesh",Prayagraj,"Ajuha APMC",Brinjal,Brinjal,FAQ,31/12/2025,1400,1500,1450
"Uttar Pradesh",Prayagraj,"Ajuha APMC","Green Chilli","Green Chilly",FAQ,31/12/2025,2650,2800,2720
"Uttar Pradesh",Prayagraj,"Ajuha APMC",Pumpkin,Pumpkin,FAQ,31/12/2025,1700,1840,1770
"Uttar Pradesh",Prayagraj,"Ajuha APMC",Raddish,Raddish,FAQ,31/12/2025,600,750,680
"Uttar Pradesh",Chandauli,"Chandoli APMC",Cauliflower,Cauliflower,FAQ,31/12/2025,1100,1260,1180
"Uttar Pradesh",Hathras,"Haathras APMC",Onion,Red,FAQ,31/12/2025,1550,1700,1620
"Uttar Pradesh",Hathras,"Haathras APMC",Cucumbar(Kheera),Cucumbar,FAQ,31/12/2025,2050,2150,2100
"Uttar Pradesh",Hathras,"Haathras APMC",Pumpkin,Pumpkin,FAQ,31/12/2025,950,1100,1030
"Uttar Pradesh",Hathras,"Haathras APMC","Bottle gourd","Bottle Gourd",FAQ,31/12/2025,1450,1600,1530
"Uttar Pradesh",Hathras,"Haathras APMC",Paddy(Basmati),"Basmati 1509",FAQ,31/12/2025,3400,3440,3420
"Uttar Pradesh",Hathras,"Haathras APMC","Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,31/12/2025,2750,2785,2775
"Uttar Pradesh",Hathras,"Haathras APMC","Green Gram(Moong)(Whole)","Green (Whole)",FAQ,31/12/2025,8750,8850,8800
